trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20250704,603986.SH,119.02,120.13,117.34,118.68,119.55,-0.87,-0.7267,141826.95,1683622.173
20250707,603986.SH,118.81,120.63,117.69,120.63,118.68,1.96,1.6491,114584.95,1370153.527
20250708,603986.SH,122.82,123.32,120.83,121.53,120.63,0.9,0.745,151877.86,1854823.191
20250709,603986.SH,120.73,120.81,119.12,119.3,121.53,-2.24,-1.8404,126056.42,1512241.902
20250710,603986.SH,118.85,119.7,117.87,117.89,119.3,-1.41,-1.1802,111583.31,1322615.181
20250711,603986.SH,117.73,118.93,117.2,118.19,117.89,0.3,0.2541,129774.02,1537067.954
20250714,603986.SH,118.44,119.03,117.29,117.42,118.19,-0.77,-0.6506,112791.53,1331566.268
20250715,603986.SH,116.93,117.39,113.83,114.83,117.42,-2.59,-2.2026,236202.59,2718281.579
20250716,603986.SH,114.83,116.23,113.83,114.07,114.83,-0.76,-0.6609,158742.83,1826208.291
20250717,603986.SH,113.88,118.02,113.65,117.82,114.07,3.75,3.2826,241275.42,2805867.152
20250718,603986.SH,117.69,120.13,116.06,116.99,117.82,-0.83,-0.7034,203233.08,2391314.587
20250721,603986.SH,116.65,117.36,115.23,116.94,116.99,-0.05,-0.0427,115943.94,1350683.002
20250722,603986.SH,116.8,117.16,115.63,115.7,116.94,-1.24,-1.0588,143927.33,1672922.189
20250723,603986.SH,115.6,118.19,115.33,116.82,115.7,1.12,0.9666,149110.76,1741699.657
20250724,603986.SH,116.43,117.83,114.97,117.72,116.82,0.9,0.7693,172253.98,2011696.442
20250725,603986.SH,117.73,121.82,117.73,121.76,117.72,4.05,3.4354,356933.76,4286282.667
20250728,603986.SH,121.82,122.02,119.54,120.09,121.76,-1.68,-1.3777,191011.97,2302878.681
20250729,603986.SH,119.83,121.32,119.23,120.11,120.09,0.02,0.0166,169940.65,2042850.877
20250730,603986.SH,123.88,129.48,123.13,123.81,120.11,3.71,3.0845,472987.44,5957278.63
20250731,603986.SH,120.82,126.62,120.11,120.95,123.81,-2.86,-2.3066,308747.73,3788904.668
20250801,603986.SH,120.33,121.92,116.92,117.14,120.95,-3.82,-3.1536,247813.48,2946052.922
20250804,603986.SH,116.13,120.03,116.13,118.67,117.14,1.53,1.3042,160782.64,1902328.181
20250805,603986.SH,118.83,119.13,117.13,117.83,118.67,-0.84,-0.7068,124850.55,1471568.918
20250806,603986.SH,117.83,118.48,116.84,118.11,117.83,0.28,0.2373,114485.67,1349530.061
20250807,603986.SH,117.81,119.03,117.15,117.5,118.11,-0.61,-0.5157,169940.88,2007916.589
20250808,603986.SH,117.51,117.51,116.23,116.23,117.5,-1.27,-1.0793,121513.0,1418055.203
20250811,603986.SH,116.62,118.33,116.31,117.78,116.23,1.55,1.3316,127981.73,1508912.168
20250812,603986.SH,118.14,121.32,117.43,120.3,117.78,2.52,2.1365,252756.18,3025712.891
20250813,603986.SH,120.32,122.82,119.77,121.28,120.3,0.99,0.8218,240986.54,2925464.097
20250814,603986.SH,121.52,125.31,120.38,120.83,121.28,-0.45,-0.3705,314003.25,3865198.49
20250815,603986.SH,119.84,123.32,119.84,122.72,120.83,1.89,1.5619,211500.22,2590294.402
20250818,603986.SH,123.15,127.79,121.33,125.52,122.72,2.8,2.2783,328498.52,4106567.032
20250819,603986.SH,125.3,128.69,122.67,123.08,125.52,-2.44,-1.9411,323175.2,4046363.006
20250820,603986.SH,122.82,127.07,121.83,126.83,123.08,3.75,3.0423,359897.59,4494071.401
20250821,603986.SH,131.9,139.51,131.9,136.96,126.83,10.15,7.9915,858971.49,11832481.427
20250822,603986.SH,134.92,150.66,134.88,150.66,136.96,13.72,10.0029,780790.54,11210984.976
20250825,603986.SH,158.77,163.26,152.66,157.57,150.66,6.92,4.5864,836197.6,13172131.297
20250826,603986.SH,157.57,157.57,152.4,154.18,157.57,-3.4,-2.1546,382253.32,5917649.65
20250827,603986.SH,155.64,168.26,151.96,158.4,154.18,4.23,2.7396,623810.58,10014123.48
