trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20250704,301275.SZ,57.83,58.76,57.02,57.08,58.20,-1.12,-1.9244,22078.66,127106.719
20250707,301275.SZ,57.00,57.68,56.50,56.54,57.08,-0.54,-0.946,12573.0,71306.875
20250708,301275.SZ,56.87,57.58,56.52,57.58,56.54,1.04,1.8394,15661.05,89518.799
20250709,301275.SZ,58.42,58.75,56.87,57.08,57.58,-0.5,-0.8684,20917.0,120875.412
20250710,301275.SZ,56.65,57.30,56.44,56.76,57.08,-0.32,-0.5606,14208.99,80652.682
20250711,301275.SZ,56.67,57.10,56.28,56.67,56.76,-0.09,-0.1586,14531.65,82292.999
20250714,301275.SZ,56.71,57.05,56.30,56.47,56.67,-0.2,-0.3529,9770.7,55203.56
20250715,301275.SZ,56.47,57.44,55.71,56.77,56.47,0.3,0.5313,18291.69,103610.919
20250716,301275.SZ,56.50,58.13,56.50,57.24,56.77,0.47,0.8279,21012.87,120795.288
20250717,301275.SZ,57.54,57.57,56.77,57.02,57.24,-0.22,-0.3843,12559.66,71563.469
20250718,301275.SZ,57.14,57.87,56.80,56.88,57.02,-0.14,-0.2455,17994.52,102786.596
20250721,301275.SZ,56.81,57.21,56.51,57.21,56.88,0.33,0.5802,14483.46,82409.647
20250722,301275.SZ,57.25,57.25,56.30,56.64,57.21,-0.57,-0.9963,18095.16,102656.162
20250723,301275.SZ,56.66,57.28,55.73,55.85,56.64,-0.79,-1.3948,17953.12,101506.46
20250724,301275.SZ,55.85,56.52,55.83,56.27,55.85,0.42,0.752,10964.21,61651.181
20250725,301275.SZ,56.28,56.54,55.33,55.79,56.27,-0.48,-0.853,18003.74,100686.579
20250728,301275.SZ,55.80,56.60,55.79,56.48,55.79,0.69,1.2368,15030.36,84524.74
20250729,301275.SZ,56.51,56.53,56.01,56.36,56.48,-0.12,-0.2125,9284.66,52213.232
20250730,301275.SZ,56.17,57.03,55.46,55.82,56.36,-0.54,-0.9581,19784.33,111075.493
20250731,301275.SZ,55.48,58.00,55.48,55.93,55.82,0.11,0.1971,34089.91,194143.386
20250801,301275.SZ,55.88,56.22,55.00,55.67,55.93,-0.26,-0.4649,17537.88,97556.257
20250804,301275.SZ,55.16,55.70,55.02,55.52,55.67,-0.15,-0.2694,9532.09,52804.925
20250805,301275.SZ,55.52,57.05,55.45,57.00,55.52,1.48,2.6657,23835.16,134623.598
20250806,301275.SZ,56.77,57.65,56.56,57.54,57.00,0.54,0.9474,24022.67,137417.992
20250807,301275.SZ,57.21,57.62,56.90,57.20,57.54,-0.34,-0.5909,19301.79,110505.655
20250808,301275.SZ,56.96,57.39,56.41,56.95,57.20,-0.25,-0.4371,15554.66,88331.776
20250811,301275.SZ,56.61,57.50,56.61,57.43,56.95,0.48,0.8428,16580.36,94884.002
