trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20250701,603893.SH,151.0,156.12,150.98,152.53,151.86,0.67,0.4412,58468.89,897997.175
20250702,603893.SH,151.5,152.03,144.66,145.72,152.53,-6.81,-4.4647,95444.21,1404384.956
20250703,603893.SH,145.2,148.5,145.01,147.54,145.72,1.82,1.249,54054.94,796762.528
20250704,603893.SH,147.3,153.88,145.71,150.74,147.54,3.2,2.1689,78507.27,1177529.403
20250707,603893.SH,151.0,152.68,149.8,152.33,150.74,1.59,1.0548,49683.76,750661.508
20250708,603893.SH,159.5,159.5,151.0,152.1,152.33,-0.23,-0.151,130973.98,2011706.182
20250709,603893.SH,150.69,152.3,147.73,148.3,152.1,-3.8,-2.4984,81871.02,1221933.936
20250710,603893.SH,148.57,150.32,146.41,147.15,148.3,-1.15,-0.7755,59689.97,881944.468
20250711,603893.SH,147.26,151.01,146.57,150.09,147.15,2.94,1.998,67937.41,1014336.034
20250714,603893.SH,149.98,157.0,149.5,154.1,150.09,4.01,2.6717,82344.6,1266620.322
20250715,603893.SH,154.0,155.33,152.53,155.09,154.1,0.99,0.6424,74461.62,1147368.908
20250716,603893.SH,156.1,157.5,153.5,153.81,155.09,-1.28,-0.8253,69229.25,1076901.342
20250717,603893.SH,153.83,154.5,149.3,150.99,153.81,-2.82,-1.8334,112855.04,1701801.888
20250718,603893.SH,151.85,161.97,151.72,153.78,150.99,2.79,1.8478,172131.0,2694118.385
20250721,603893.SH,152.65,165.58,152.1,161.95,153.78,8.17,5.3128,191962.9,3082502.697
20250722,603893.SH,160.35,162.86,157.76,158.4,161.95,-3.55,-2.192,110069.6,1757022.472
20250723,603893.SH,157.7,160.25,156.47,157.88,158.4,-0.52,-0.3283,73053.45,1155415.746
20250724,603893.SH,158.0,160.58,157.1,159.88,157.88,2.0,1.2668,84723.47,1347246.486
20250725,603893.SH,159.88,164.44,159.06,163.36,159.88,3.48,2.1766,92924.3,1498073.866
20250728,603893.SH,163.5,164.03,161.46,162.83,163.36,-0.53,-0.3244,77462.5,1259490.841
20250729,603893.SH,162.84,168.5,161.7,167.0,162.83,4.17,2.561,99889.41,1654273.44
20250730,603893.SH,165.5,170.0,164.22,165.95,167.0,-1.05,-0.6287,86976.92,1453528.888
20250731,603893.SH,164.03,166.6,160.68,162.0,165.95,-3.95,-2.3802,90936.36,1485320.638
20250801,603893.SH,161.07,162.28,158.56,159.9,161.35,-1.45,-0.8987,50236.94,804839.125
20250804,603893.SH,159.4,164.47,158.91,162.96,159.9,3.06,1.9137,64028.84,1040627.666
20250805,603893.SH,162.96,163.63,161.48,162.0,162.96,-0.96,-0.5891,41201.5,668109.028
20250806,603893.SH,162.68,165.88,159.53,163.2,162.0,1.2,0.7407,71488.04,1161791.075
20250807,603893.SH,162.82,163.21,160.03,160.9,163.2,-2.3,-1.4093,60715.03,980939.04
20250808,603893.SH,160.85,161.1,156.5,156.7,160.9,-4.2,-2.6103,65050.94,1024998.46
20250811,603893.SH,156.87,161.4,156.03,160.36,156.7,3.66,2.3357,67493.94,1078183.183
20250812,603893.SH,160.77,168.23,160.51,167.66,160.36,7.3,4.5523,131667.32,2167505.852
20250813,603893.SH,167.67,174.93,165.82,173.0,167.66,5.34,3.185,131814.41,2246811.564
20250814,603893.SH,174.0,185.87,173.1,177.88,173.0,4.88,2.8208,167456.55,3022427.744
20250815,603893.SH,176.3,181.4,176.0,178.24,177.88,0.36,0.2024,102083.39,1822643.649
20250818,603893.SH,178.24,182.65,176.67,179.1,178.24,0.86,0.4825,114719.72,2057768.08
20250819,603893.SH,181.97,189.97,179.45,180.3,179.1,1.2,0.67,148874.46,2754236.166
20250820,603893.SH,178.03,194.8,175.71,193.08,180.3,12.78,7.0882,187515.16,3477920.945
20250821,603893.SH,193.08,193.82,184.51,185.94,193.08,-7.14,-3.6979,136529.42,2572606.602
20250822,603893.SH,185.53,196.5,185.53,196.02,185.94,10.08,5.4211,159419.51,3078911.594
20250825,603893.SH,204.98,208.12,192.0,197.65,196.02,1.63,0.8315,193740.28,3855200.065
20250826,603893.SH,193.2,200.88,191.18,196.0,197.65,-1.65,-0.8348,120348.8,2361012.901
20250827,603893.SH,200.5,215.6,199.98,215.6,196.0,19.6,10.0,142834.43,3013270.898
20250828,603893.SH,225.1,237.16,222.15,237.16,215.6,21.56,10.0,290091.59,6728876.465
20250829,603893.SH,236.8,246.65,228.1,246.3,237.16,9.14,3.8539,251469.31,5987520.428
20250901,603893.SH,249.0,249.99,225.21,233.99,246.3,-12.31,-4.998,267083.77,6250388.168
20250902,603893.SH,229.05,230.76,211.0,212.99,233.99,-21.0,-8.9747,247416.15,5427492.921
20250903,603893.SH,215.12,215.94,205.53,206.57,212.99,-6.42,-3.0142,155502.65,3270303.018
20250904,603893.SH,206.62,209.29,191.28,194.81,206.57,-11.76,-5.693,187367.26,3740230.603
20250905,603893.SH,196.02,198.7,192.19,198.0,194.81,3.19,1.6375,170359.09,3333769.246
20250908,603893.SH,199.5,207.72,198.0,201.16,198.0,3.16,1.596,174833.68,3534689.169
20250909,603893.SH,201.15,204.93,196.1,197.93,201.16,-3.23,-1.6057,112349.05,2246099.475
20250910,603893.SH,197.08,204.68,197.08,201.2,197.93,3.27,1.6521,128159.57,2577531.315
20250911,603893.SH,199.88,212.44,198.52,211.79,201.2,10.59,5.2634,179301.17,3717051.537
20250912,603893.SH,210.75,221.98,207.22,215.65,211.79,3.86,1.8226,189137.79,4051082.405
